gamma0,UMV,LRP,PDDi,WeertC
21005.34364,3.67E+20,0.000308549346,0.01476816582,62063.01908
86984.00071,4.07E+20,0.0004486472752,0.01450857015,54709.12933
159188.5414,4.18E+20,0.0001528398519,0.01794202006,32596.24075
14477.33676,8.28E+20,0.0005698201617,0.0164013564,54064.08632
159188.5414,8.47E+19,0.0006533388944,0.01912196802,20183.7395
471264.2917,1.19E+20,0.0005780874074,0.0187163363,8865.986184
471264.2917,4.56E+20,0.0002188987174,0.01376324833,23209.67596
9618.882299,7.85E+20,0.0006101973572,0.01244025433,60463.91734
21005.34364,3.29E+20,0.0003204676932,0.008783972187,18201.52538
21005.34364,3.64E+20,0.0007573952484,0.009333490328,56131.4856
159188.5414,4.66E+20,0.000248595445,0.01129330542,46410.30377
471264.2917,6.92E+20,0.0006962337803,0.01594320872,21026.81958
21005.34364,7.16E+20,0.0002641281727,0.01251497986,47541.59748
21005.34364,2.41E+20,0.0006821820438,0.01736334533,37736.98865
14477.33676,3.57E+20,0.0004563822149,0.01112721582,30988.25326
9618.882299,8.10E+20,0.0007679351576,0.009163859433,50558.18729
86984.00071,3.13E+19,0.0003620181524,0.01568343003,43208.1282
86984.00071,3.41E+20,0.0005537629911,0.01131432151,35340.21212
14477.33676,5.46E+20,0.0004161466528,0.01108057069,36771.85311
21005.34364,8.98E+20,0.0001413757841,0.01828968341,17603.86819
86984.00071,5.69E+20,0.0006382550066,0.01213862672,48839.36268
471264.2917,2.15E+20,0.000667047357,0.01608432364,12164.39133
21005.34364,9.57E+20,0.0005969459535,0.01223884871,28079.55828
9618.882299,9.25E+20,3.88E-05,0.009878740608,22846.37812
21005.34364,3.12E+20,0.000743134399,0.01203127336,51296.82688
9618.882299,4.37E+19,9.52E-05,0.01690197907,59499.83164
